APP_NM,TICKET,RESOLUTION,TICKET_TYPE,COMMENT,CREATED_ON,MON,RESOLVED_BY
REPC,10033961,Backed Update - Incoming Digit/Foreign Incoming Digit/Routing No for Optimus Orders,Service Request,Requirement is in place (Optimus team),2022/01/13 06:35:45,Jan2022,Surandranath
MSPS,10033960,MSPS - Functional Issue,Incident,"2022-01-10 01:10:00,166 [MSPS-EMAIL-ENGINE_Worker-1] INFO  - EMAILCONFIG_JOB_GROUP.EMAILCONFIG_JOB_272 Job Executing now... at Mon Jan 10 01:10:00 GMT 2022, Attempt - 1
2022-01-10 01:10:00,174 [MSPS-EMAIL-ENGINE_Worker-1] INFO  - Fetch the SQL Query from the record for id 5514677
2022-01-10 01:10:00,175 [MSPS-EMAIL-ENGINE_Worker-1] INFO  - Elapsed Time In Minute 0
2022-01-10 01:10:00,175 [MSPS-EMAIL-ENGINE_Worker-1] INFO  - Query is select * from msps.MOVE_MM_TADIG_RPT_INVENTORY_V",2022/01/13 03:25:43,Jan2022,Pragadeswar
TIGER,10033949,User Request - Trigger notification,Incident,NA,2022/01/13 01:35:31,Jan2022,Pragadeswar
RERT,10033941,User Request - Site related Modifications,Service Request,NA,2022/01/12 07:30:56,Jan2022,Saibhargavi
MSPS,10033940,Backend Update - MSPS application server,Service Request,NA,2022/01/12 07:28:18,Jan2022,Harish
TIGER,10033932,Supplier/Customer Migration/Numbering Plan Change Request,Incident,NA,2022/01/12 06:31:16,Jan2022,Surandranath
REPC,10033931,Backend Update - Charge for Tiger Voice Orders,Service Request,NA,2022/01/12 06:08:26,Jan2022,Pragadeswar
REPC,10033930,Order closure - XML Failure,Incident,NA,2022/01/11 04:14:13,Jan2022,Bharat
REPC,10033927,Backend Update - Service Precedence and Service Abbreviation,Incident,NA,2022/01/11 07:18:45,Jan2022,Bharat
TIGER,10033926,Application Latency,Service Request,NA,2022/01/11 07:21:52,Jan2022,Saibhargavi
RERT,10033922,Pilot activity-Owner/Service Configuration,Service Request,NA,2022/01/11 07:23:27,Jan2022,Sucharitha
MSPS,10033921,REPC - Other Requests,Service Request,NA,2022/01/12 06:32:48,Jan2022,Pragadeswar
